employee_id,department,location,level,manager_id,tenure_years,role_family,annual_salary_usd,attrition_flag,attrition_risk_score,risk_band,sentiment_score,sentiment_band,survey_response_count,sentiment_source,engagement_index,engagement_band,manager_sentiment_avg,team_size,data_provenance,confidence_note
EMP_00013,Sales,UK,Leader,MGR_013,7.2,Tech,183956,1,0.156,Low,-0.012,Neutral,9,synthetic_demo,48,Medium,0.007,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00014,HR,UK,Mid,MGR_021,2.7,Commercial,103878,0,0.224,Low,-0.198,Neutral,6,synthetic_demo,55,Medium,0.008,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00015,Operations,UK,Junior,MGR_090,0.4,Commercial,72740,0,0.179,Low,-0.125,Neutral,8,synthetic_demo,62,Medium,-0.06,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00016,Marketing,Singapore,Junior,MGR_022,6.8,Operations,71612,1,0.322,Low,-0.462,Negative,4,synthetic_demo,54,Medium,-0.148,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00017,Finance,Singapore,Junior,MGR_049,3.3,Commercial,45151,1,0.251,Low,0.061,Neutral,8,synthetic_demo,49,Medium,0.151,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00018,Operations,Singapore,Mid,MGR_088,1.4,Tech,83260,0,0.054,Low,0.664,Positive,8,synthetic_demo,85,High,0.119,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00019,Operations,US,Junior,MGR_041,0.6,Tech,73213,0,0.227,Low,-0.043,Neutral,8,synthetic_demo,66,Medium,0.137,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00020,HR,UK,Junior,MGR_092,0.3,Operations,63450,0,0.183,Low,0.135,Neutral,13,synthetic_demo,73,High,-0.071,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00021,Operations,India,Mid,MGR_083,6.6,Commercial,86899,1,0.22,Low,-0.27,Negative,4,synthetic_demo,50,Medium,0.239,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00022,HR,India,Junior,MGR_096,5.2,Tech,55805,0,0.12,Low,0.028,Neutral,4,synthetic_demo,61,Medium,0.051,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00023,Finance,Poland,Junior,MGR_055,2.3,Operations,64122,1,0.307,Low,-0.709,Negative,4,synthetic_demo,44,Medium,-0.243,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00024,Finance,Germany,Mid,MGR_066,0.5,Tech,82512,0,0.094,Low,0.581,Positive,8,synthetic_demo,92,High,-0.059,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00025,HR,US,Senior,MGR_020,0.0,Tech,118125,0,0.085,Low,0.155,Neutral,4,synthetic_demo,71,High,-0.02,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00026,Marketing,India,Senior,MGR_077,3.0,Commercial,113171,1,0.19,Low,-0.455,Negative,5,synthetic_demo,63,Medium,-0.046,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00027,Engineering,Germany,Mid,MGR_068,2.6,Commercial,117011,1,0.326,Low,-0.664,Negative,8,synthetic_demo,56,Medium,-0.137,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00028,Operations,Poland,Senior,MGR_088,1.2,Tech,169141,0,0.257,Low,-0.218,Negative,11,synthetic_demo,48,Medium,0.119,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00029,Marketing,US,Mid,MGR_097,1.3,Operations,116537,0,0.197,Low,-0.076,Neutral,8,synthetic_demo,69,Medium,0.056,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00030,Operations,Singapore,Mid,MGR_056,9.0,Commercial,98671,1,0.345,Low,-0.215,Negative,7,synthetic_demo,46,Medium,-0.079,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00031,Sales,Germany,Junior,MGR_093,2.4,Operations,58245,1,0.224,Low,-0.108,Neutral,4,synthetic_demo,65,Medium,0.006,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00032,Operations,Poland,Senior,MGR_014,5.2,Operations,159436,0,0.169,Low,-0.177,Neutral,9,synthetic_demo,67,Medium,-0.04,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00033,Marketing,UK,Senior,MGR_078,0.0,Operations,142806,0,0.229,Low,0.113,Neutral,8,synthetic_demo,54,Medium,0.189,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00034,Sales,India,Mid,MGR_070,0.2,Tech,97692,0,0.185,Low,0.344,Positive,7,synthetic_demo,68,Medium,-0.024,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00035,Finance,US,Mid,MGR_003,6.6,Commercial,92782,0,0.283,Low,-0.508,Negative,4,synthetic_demo,55,Medium,-0.152,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00036,Engineering,UK,Senior,MGR_031,5.0,Commercial,157931,0,0.109,Low,0.657,Positive,4,synthetic_demo,83,High,0.065,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00037,Engineering,India,Senior,MGR_011,5.0,Tech,179109,0,0.195,Low,0.103,Neutral,7,synthetic_demo,51,Medium,-0.022,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00038,Marketing,Germany,Senior,MGR_099,15.0,Operations,148880,1,0.199,Low,0.106,Neutral,7,synthetic_demo,58,Medium,-0.102,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00039,Sales,India,Mid,MGR_022,3.3,Operations,96015,0,0.191,Low,0.04,Neutral,6,synthetic_demo,76,High,-0.148,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00040,Operations,Poland,Senior,MGR_028,0.7,Commercial,119546,0,0.235,Low,0.479,Positive,9,synthetic_demo,54,Medium,0.203,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00041,Finance,Singapore,Mid,MGR_040,2.0,Operations,82912,0,0.129,Low,0.134,Neutral,4,synthetic_demo,63,Medium,0.228,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00042,HR,Singapore,Mid,MGR_067,6.8,Commercial,93698,0,0.192,Low,0.171,Neutral,2,synthetic_demo,54,Medium,0.026,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00043,HR,US,Junior,MGR_044,0.6,Tech,47661,1,0.279,Low,-0.037,Neutral,4,synthetic_demo,48,Medium,-0.041,20,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00044,Engineering,Poland,Mid,MGR_029,6.2,Operations,116043,0,0.088,Low,0.422,Positive,7,synthetic_demo,69,Medium,0.157,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00045,Engineering,US,Senior,MGR_030,4.1,Tech,112567,1,0.112,Low,0.298,Positive,6,synthetic_demo,57,Medium,0.065,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00046,Engineering,US,Senior,MGR_066,1.2,Tech,124801,1,0.317,Low,-0.498,Negative,9,synthetic_demo,39,Low,-0.059,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00047,Sales,UK,Mid,MGR_070,1.0,Tech,88154,0,0.085,Low,0.324,Positive,5,synthetic_demo,87,High,-0.024,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00048,Sales,Singapore,Leader,MGR_074,1.0,Operations,177337,0,0.34,Low,-0.17,Neutral,7,synthetic_demo,30,Low,-0.052,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00049,HR,India,Senior,MGR_025,8.0,Commercial,148973,0,0.301,Low,-0.584,Negative,5,synthetic_demo,50,Medium,-0.092,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00050,Engineering,US,Mid,MGR_055,2.6,Commercial,77718,1,0.133,Low,-0.317,Negative,2,synthetic_demo,79,High,-0.243,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00051,HR,Germany,Senior,MGR_087,13.8,Tech,132564,0,0.216,Low,-0.211,Negative,9,synthetic_demo,62,Medium,0.014,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00052,Marketing,Singapore,Junior,MGR_094,0.2,Commercial,67233,0,0.212,Low,0.031,Neutral,4,synthetic_demo,72,High,-0.145,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00053,Operations,US,Junior,MGR_069,3.3,Tech,60691,0,0.131,Low,0.305,Positive,8,synthetic_demo,64,Medium,0.135,5,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00054,HR,India,Mid,MGR_060,7.1,Commercial,101211,0,0.21,Low,0.288,Positive,7,synthetic_demo,52,Medium,0.1,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00055,Sales,US,Mid,MGR_013,4.1,Operations,71676,0,0.054,Low,0.528,Positive,6,synthetic_demo,77,High,0.007,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00056,Engineering,Singapore,Leader,MGR_012,3.8,Tech,232003,0,0.189,Low,0.132,Neutral,6,synthetic_demo,77,High,0.101,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00057,Sales,India,Mid,MGR_028,8.8,Commercial,77667,0,0.127,Low,0.063,Neutral,7,synthetic_demo,88,High,0.203,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00058,HR,US,Junior,MGR_050,1.7,Tech,67093,0,0.307,Low,-0.399,Negative,8,synthetic_demo,40,Medium,-0.439,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00059,Operations,Germany,Junior,MGR_094,4.9,Operations,45138,0,0.274,Low,-0.354,Negative,7,synthetic_demo,34,Low,-0.145,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00060,Finance,Singapore,Senior,MGR_025,1.6,Tech,174039,0,0.12,Low,-0.095,Neutral,3,synthetic_demo,68,Medium,-0.092,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00061,Operations,India,Leader,MGR_095,0.5,Operations,201462,1,0.172,Low,0.901,Positive,4,synthetic_demo,83,High,-0.018,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00062,Finance,US,Senior,MGR_007,4.5,Tech,141730,0,0.372,Medium,-0.387,Negative,6,synthetic_demo,23,Low,0.066,16,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00063,Finance,Germany,Mid,MGR_021,3.1,Operations,90436,0,0.115,Low,0.327,Positive,2,synthetic_demo,80,High,0.008,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00064,Engineering,Poland,Junior,MGR_009,3.2,Tech,52145,1,0.194,Low,-0.046,Neutral,8,synthetic_demo,56,Medium,0.142,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00065,Finance,US,Mid,MGR_052,0.7,Tech,71326,0,0.162,Low,0.114,Neutral,7,synthetic_demo,50,Medium,0.115,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00066,Engineering,Poland,Junior,MGR_006,1.7,Operations,53833,0,0.069,Low,0.614,Positive,3,synthetic_demo,85,High,0.026,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00067,Finance,US,Mid,MGR_073,3.0,Operations,82894,0,0.112,Low,0.06,Neutral,4,synthetic_demo,59,Medium,-0.105,6,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00068,Finance,UK,Leader,MGR_086,3.2,Tech,242974,0,0.204,Low,0.193,Neutral,7,synthetic_demo,67,Medium,0.022,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00069,Marketing,UK,Junior,MGR_017,4.0,Commercial,47483,0,0.304,Low,-0.502,Negative,6,synthetic_demo,53,Medium,-0.12,16,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00070,Marketing,Singapore,Junior,MGR_097,0.7,Commercial,45935,0,0.123,Low,0.065,Neutral,5,synthetic_demo,67,Medium,0.056,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00071,Engineering,US,Mid,MGR_013,3.9,Operations,94774,0,0.196,Low,-0.219,Negative,7,synthetic_demo,72,High,0.007,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00072,Engineering,Poland,Junior,MGR_017,2.3,Commercial,71188,0,0.179,Low,0.217,Positive,8,synthetic_demo,73,High,-0.12,16,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00073,Operations,US,Senior,MGR_037,7.8,Commercial,122640,0,0.098,Low,0.286,Positive,7,synthetic_demo,68,Medium,0.003,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00074,Sales,Germany,Senior,MGR_039,0.1,Operations,151738,0,0.161,Low,0.31,Positive,4,synthetic_demo,63,Medium,-0.14,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00075,Finance,Singapore,Mid,MGR_071,2.3,Operations,109536,0,0.169,Low,0.361,Positive,5,synthetic_demo,54,Medium,0.052,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00076,Operations,Singapore,Junior,MGR_034,4.8,Tech,74938,0,0.05,Low,0.373,Positive,9,synthetic_demo,81,High,0.182,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00077,Engineering,US,Senior,MGR_035,1.3,Tech,130106,0,0.302,Low,-0.351,Negative,1,synthetic_demo,43,Medium,-0.164,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00078,Operations,Poland,Junior,MGR_027,3.4,Commercial,51547,0,0.142,Low,0.082,Neutral,10,synthetic_demo,60,Medium,-0.087,5,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00079,Marketing,Singapore,Senior,MGR_063,0.6,Operations,125434,0,0.239,Low,0.194,Neutral,7,synthetic_demo,58,Medium,0.091,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00080,Operations,US,Junior,MGR_036,5.1,Commercial,51733,0,0.05,Low,0.367,Positive,5,synthetic_demo,71,High,-0.149,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00081,Engineering,US,Mid,MGR_082,9.3,Tech,113106,0,0.12,Low,0.19,Neutral,4,synthetic_demo,75,High,0.126,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00082,Operations,India,Senior,MGR_091,0.7,Operations,157828,0,0.125,Low,0.628,Positive,13,synthetic_demo,40,Medium,0.236,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00083,HR,Poland,Junior,MGR_089,2.9,Tech,67581,0,0.251,Low,-0.058,Neutral,6,synthetic_demo,60,Medium,0.081,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00084,Sales,Poland,Junior,MGR_075,3.0,Commercial,52794,0,0.4,Medium,-0.521,Negative,8,synthetic_demo,53,Medium,-0.008,6,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00085,Finance,India,Mid,MGR_040,3.5,Tech,73391,1,0.159,Low,0.376,Positive,4,synthetic_demo,59,Medium,0.228,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00086,Operations,US,Senior,MGR_088,0.1,Tech,132652,0,0.231,Low,-0.184,Neutral,7,synthetic_demo,71,High,0.119,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00087,Sales,Singapore,Junior,MGR_053,0.7,Operations,47471,0,0.165,Low,0.393,Positive,7,synthetic_demo,82,High,0.116,6,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00088,Finance,Singapore,Junior,MGR_021,0.7,Tech,45934,1,0.336,Low,-0.072,Neutral,10,synthetic_demo,45,Medium,0.008,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00089,Sales,Germany,Junior,MGR_043,7.6,Operations,63499,0,0.122,Low,-0.031,Neutral,4,synthetic_demo,73,High,0.021,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00090,HR,Singapore,Senior,MGR_035,0.9,Tech,165829,0,0.137,Low,-0.005,Neutral,1,synthetic_demo,55,Medium,-0.164,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00091,Sales,Singapore,Junior,MGR_061,2.0,Tech,63000,0,0.16,Low,0.358,Positive,4,synthetic_demo,58,Medium,0.087,6,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00092,Sales,India,Senior,MGR_045,3.6,Commercial,149175,0,0.295,Low,-0.405,Negative,2,synthetic_demo,41,Medium,-0.004,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00093,Operations,India,Junior,MGR_025,0.4,Operations,62026,0,0.237,Low,0.346,Positive,3,synthetic_demo,74,High,-0.092,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00094,HR,UK,Junior,MGR_099,3.8,Tech,69051,1,0.12,Low,0.125,Neutral,8,synthetic_demo,73,High,-0.102,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00095,Operations,UK,Mid,MGR_087,0.9,Commercial,77977,0,0.179,Low,-0.112,Neutral,8,synthetic_demo,61,Medium,0.014,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00096,Finance,UK,Leader,MGR_034,0.2,Tech,163065,0,0.111,Low,0.197,Neutral,7,synthetic_demo,62,Medium,0.182,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00097,Sales,Poland,Leader,MGR_005,2.6,Commercial,203861,0,0.202,Low,-0.037,Neutral,10,synthetic_demo,76,High,-0.063,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00098,Engineering,Poland,Mid,MGR_041,0.8,Operations,118569,0,0.184,Low,0.091,Neutral,7,synthetic_demo,65,Medium,0.137,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00099,HR,Poland,Leader,MGR_050,10.5,Tech,185813,0,0.252,Low,-0.453,Negative,5,synthetic_demo,60,Medium,-0.439,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00100,Finance,India,Junior,MGR_056,5.3,Operations,57926,0,0.188,Low,-0.449,Negative,3,synthetic_demo,55,Medium,-0.079,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00101,Engineering,Poland,Leader,MGR_088,3.3,Operations,207463,1,0.199,Low,0.134,Neutral,5,synthetic_demo,67,Medium,0.119,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00102,Marketing,Singapore,Senior,MGR_047,0.4,Tech,141653,0,0.25,Low,0.018,Neutral,5,synthetic_demo,58,Medium,-0.041,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00103,HR,US,Leader,MGR_080,3.1,Commercial,246791,0,0.244,Low,0.349,Positive,3,synthetic_demo,39,Low,-0.001,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00104,Operations,Singapore,Senior,MGR_039,3.4,Operations,177893,0,0.232,Low,-0.364,Negative,11,synthetic_demo,53,Medium,-0.14,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00105,Finance,UK,Mid,MGR_052,3.5,Commercial,103825,0,0.17,Low,0.224,Positive,5,synthetic_demo,54,Medium,0.115,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00106,Marketing,UK,Mid,MGR_054,4.6,Tech,98350,0,0.169,Low,0.115,Neutral,8,synthetic_demo,68,Medium,0.048,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00107,Marketing,Germany,Mid,MGR_079,0.0,Tech,86229,0,0.362,Medium,-0.447,Negative,5,synthetic_demo,32,Low,-0.075,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00108,Finance,UK,Mid,MGR_039,2.9,Tech,93174,0,0.216,Low,-0.245,Negative,3,synthetic_demo,63,Medium,-0.14,9,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00109,Operations,India,Mid,MGR_078,1.5,Operations,99008,0,0.05,Low,0.815,Positive,5,synthetic_demo,87,High,0.189,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00110,Marketing,UK,Mid,MGR_087,0.2,Commercial,116721,0,0.203,Low,0.137,Neutral,6,synthetic_demo,55,Medium,0.014,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00111,Sales,Poland,Mid,MGR_022,3.8,Operations,83631,0,0.186,Low,-0.344,Negative,5,synthetic_demo,49,Medium,-0.148,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00112,Marketing,US,Junior,MGR_082,2.0,Operations,69179,0,0.194,Low,0.154,Neutral,10,synthetic_demo,58,Medium,0.126,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00113,Finance,UK,Junior,MGR_087,0.8,Tech,68415,0,0.21,Low,0.281,Positive,6,synthetic_demo,61,Medium,0.014,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00114,Operations,India,Senior,MGR_004,0.3,Tech,111654,0,0.256,Low,0.145,Neutral,6,synthetic_demo,75,High,-0.036,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00115,Engineering,India,Leader,MGR_099,1.6,Operations,202819,0,0.07,Low,0.342,Positive,5,synthetic_demo,79,High,-0.102,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00116,Engineering,Germany,Mid,MGR_074,0.2,Operations,95952,0,0.196,Low,-0.249,Negative,11,synthetic_demo,56,Medium,-0.052,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00117,Sales,Singapore,Mid,MGR_052,9.5,Commercial,78765,0,0.183,Low,-0.347,Negative,8,synthetic_demo,57,Medium,0.115,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00118,Sales,India,Mid,MGR_097,7.9,Tech,96997,1,0.264,Low,-0.111,Neutral,6,synthetic_demo,57,Medium,0.056,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00119,Engineering,Germany,Junior,MGR_067,1.1,Operations,52893,0,0.252,Low,-0.247,Negative,11,synthetic_demo,51,Medium,0.026,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00120,HR,US,Mid,MGR_059,6.1,Tech,110296,0,0.162,Low,0.408,Positive,4,synthetic_demo,63,Medium,0.013,6,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00121,Sales,Germany,Mid,MGR_077,3.1,Operations,111124,1,0.156,Low,-0.009,Neutral,5,synthetic_demo,67,Medium,-0.046,10,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00122,Operations,Germany,Mid,MGR_065,0.4,Operations,118155,0,0.233,Low,-0.065,Neutral,5,synthetic_demo,63,Medium,0.149,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00123,HR,Poland,Mid,MGR_096,2.9,Tech,102510,0,0.156,Low,-0.075,Neutral,3,synthetic_demo,73,High,0.051,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00124,HR,Germany,Junior,MGR_082,0.2,Tech,60282,0,0.326,Low,-0.106,Neutral,6,synthetic_demo,42,Medium,0.126,15,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00125,Operations,Poland,Mid,MGR_036,1.6,Tech,111376,0,0.111,Low,0.308,Positive,2,synthetic_demo,75,High,-0.149,8,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00126,HR,US,Senior,MGR_035,0.7,Tech,110848,0,0.215,Low,0.137,Neutral,5,synthetic_demo,53,Medium,-0.164,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00127,Operations,UK,Senior,MGR_018,4.0,Tech,143321,0,0.316,Low,-0.48,Negative,10,synthetic_demo,31,Low,-0.104,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00128,Sales,India,Mid,MGR_091,3.2,Tech,114755,0,0.186,Low,0.322,Positive,4,synthetic_demo,81,High,0.236,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00129,Sales,US,Mid,MGR_070,0.1,Commercial,74239,0,0.185,Low,-0.128,Neutral,1,synthetic_demo,58,Medium,-0.024,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00130,HR,Germany,Junior,MGR_050,4.5,Commercial,64841,1,0.242,Low,-0.34,Negative,4,synthetic_demo,46,Medium,-0.439,7,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00131,Finance,Singapore,Junior,MGR_049,10.3,Operations,53863,0,0.08,Low,0.212,Positive,6,synthetic_demo,78,High,0.151,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00132,HR,US,Leader,MGR_097,2.8,Commercial,218242,0,0.153,Low,0.325,Positive,5,synthetic_demo,75,High,0.056,11,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00133,HR,Germany,Mid,MGR_070,1.7,Operations,100646,0,0.244,Low,-0.077,Neutral,13,synthetic_demo,55,Medium,-0.024,12,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00134,Finance,India,Mid,MGR_056,8.3,Commercial,72158,0,0.27,Low,-0.454,Negative,9,synthetic_demo,47,Medium,-0.079,13,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00135,HR,US,Mid,MGR_087,3.5,Operations,113666,0,0.133,Low,0.451,Positive,2,synthetic_demo,78,High,0.014,14,synthetic_demo_v2,Simulated for demonstration purposes only
EMP_00136,HR,Singapore,Junior,MGR_017,0.3,Commercial,57044,0,0.333,Low,-0.324,Negative,7,synthetic_demo,46,Medium,-0.12,16,synthetic_demo_v2,Simulated for demonstration purposes only
