employee_id,location,attrition_flag,attrition_risk_score,sentiment_score,sentiment_band,engagement_score,manager_effectiveness
EMP0153,New York,At-Risk,67,0.52,Neutral,2.0,2.2
EMP0154,New York,Stayed,35,0.69,Neutral,3.7,3.8
EMP0155,San Francisco,Stayed,44,0.67,Neutral,3.6,3.3
EMP0156,New York,Stayed,32,0.91,Positive,4.2,4.3
EMP0157,Austin,Stayed,7,0.94,Positive,4.7,4.9
EMP0158,Remote,Stayed,60,0.5,Neutral,2.2,2.6
EMP0159,New York,Stayed,22,0.8,Positive,4.2,3.8
EMP0160,San Francisco,Stayed,54,0.51,Neutral,2.6,3.1
EMP0161,San Francisco,Stayed,9,0.98,Positive,4.6,4.7
EMP0162,New York,Stayed,13,0.88,Positive,4.5,4.7
EMP0163,Remote,Stayed,37,0.78,Positive,3.6,3.5
EMP0164,New York,Stayed,29,0.85,Positive,4.1,3.8
EMP0165,San Francisco,Stayed,52,0.54,Neutral,2.9,3.0
EMP0166,London,Stayed,52,0.48,Neutral,2.4,2.5
EMP0167,Austin,Stayed,20,0.94,Positive,4.5,3.9
EMP0168,San Francisco,Stayed,37,0.71,Neutral,3.4,3.7
EMP0169,New York,Stayed,46,0.61,Neutral,3.1,3.5
EMP0170,Austin,Stayed,39,0.6,Neutral,3.5,3.2
EMP0171,New York,Stayed,18,0.81,Positive,4.5,4.1
EMP0172,New York,Stayed,53,0.52,Neutral,3.0,2.9
EMP0173,London,Left,86,0.28,Negative,1.5,1.5
EMP0174,Austin,Stayed,26,0.81,Positive,4.1,4.0
EMP0175,Austin,Stayed,13,0.82,Positive,4.5,4.5
EMP0176,London,Left,92,0.31,Negative,1.3,1.4
EMP0177,San Francisco,Stayed,47,0.48,Neutral,2.7,2.2
EMP0178,New York,Stayed,63,0.42,Negative,2.4,1.9
EMP0179,Remote,Stayed,54,0.61,Neutral,3.0,2.0
EMP0180,New York,Stayed,38,0.72,Neutral,3.4,3.7
EMP0181,New York,Stayed,25,0.95,Positive,4.2,4.3
EMP0182,San Francisco,Stayed,21,0.82,Positive,4.0,4.4
EMP0183,New York,Stayed,37,0.85,Positive,3.9,3.4
EMP0184,London,At-Risk,76,0.35,Negative,2.1,2.1
EMP0185,London,Stayed,36,0.81,Positive,3.5,3.6
EMP0186,Austin,Stayed,44,0.59,Neutral,3.4,3.2
EMP0187,Remote,Stayed,9,0.96,Positive,4.9,4.3
EMP0188,New York,Stayed,19,0.81,Positive,3.9,4.6
EMP0189,New York,Stayed,61,0.4,Negative,2.4,2.9
EMP0190,San Francisco,Stayed,33,0.76,Positive,4.0,3.9
EMP0191,London,At-Risk,75,0.34,Negative,2.0,2.2
EMP0192,Remote,Stayed,26,0.8,Positive,4.1,3.9
EMP0193,Austin,At-Risk,69,0.51,Neutral,2.2,1.8
EMP0194,London,Left,86,0.31,Negative,1.5,2.3
EMP0195,Austin,Stayed,10,0.89,Positive,4.6,3.9
EMP0196,San Francisco,Stayed,50,0.39,Negative,2.7,2.6
EMP0197,San Francisco,Stayed,13,0.93,Positive,4.5,4.5
EMP0198,New York,Stayed,43,0.61,Neutral,2.8,3.5
EMP0199,Remote,Stayed,28,0.7,Neutral,3.9,4.3
EMP0200,Austin,Stayed,21,0.81,Positive,4.1,3.4
EMP0201,London,At-Risk,66,0.52,Neutral,2.5,2.5
EMP0202,San Francisco,Stayed,56,0.63,Neutral,2.9,2.9
EMP0203,New York,Stayed,60,0.49,Neutral,2.6,2.5
EMP0204,New York,Stayed,59,0.38,Negative,2.1,2.3
EMP0205,Austin,Stayed,49,0.56,Neutral,2.9,2.3
EMP0206,San Francisco,Stayed,28,0.86,Positive,4.0,3.8
EMP0207,Remote,Stayed,1,1.0,Positive,4.8,5.0
EMP0208,San Francisco,Stayed,10,0.92,Positive,4.6,4.9
EMP0209,Austin,Stayed,16,0.91,Positive,4.3,4.4
EMP0210,Austin,Stayed,16,0.75,Positive,4.4,4.2
EMP0211,San Francisco,Stayed,13,0.84,Positive,4.0,3.9
EMP0212,Austin,Stayed,56,0.5,Neutral,2.8,3.1
EMP0213,San Francisco,Stayed,3,1.0,Positive,4.7,4.7
EMP0214,London,Stayed,51,0.55,Neutral,3.0,2.6
EMP0215,San Francisco,Stayed,32,0.69,Neutral,3.7,3.2
EMP0216,San Francisco,Stayed,64,0.49,Neutral,2.3,1.7
EMP0217,Austin,Stayed,43,0.7,Neutral,3.3,3.9
EMP0218,Austin,Stayed,41,0.65,Neutral,3.4,3.7
EMP0219,New York,Stayed,14,0.94,Positive,4.6,4.6
EMP0220,New York,Stayed,34,0.75,Positive,3.6,3.5
EMP0221,London,Stayed,65,0.45,Negative,2.1,1.9
EMP0222,New York,Stayed,11,0.97,Positive,4.9,5.0
EMP0223,San Francisco,Stayed,61,0.49,Neutral,2.3,3.1
EMP0224,Austin,Stayed,46,0.72,Neutral,3.3,3.0
EMP0225,New York,Stayed,65,0.36,Negative,2.1,2.6
EMP0226,New York,Stayed,9,0.8,Positive,4.2,4.2
EMP0227,London,Stayed,37,0.75,Positive,3.8,3.7
EMP0228,London,At-Risk,67,0.32,Negative,1.8,2.4
EMP0229,San Francisco,Stayed,13,0.82,Positive,4.6,4.6
EMP0230,Austin,Stayed,55,0.63,Neutral,2.9,3.0
EMP0231,London,Stayed,32,0.64,Neutral,3.7,3.8
EMP0232,New York,Stayed,27,0.83,Positive,4.3,3.6
EMP0233,Austin,Stayed,20,0.92,Positive,4.4,4.5
EMP0234,Austin,At-Risk,71,0.42,Negative,2.1,1.8
EMP0235,New York,Stayed,9,0.96,Positive,4.9,4.3
EMP0236,London,Stayed,46,0.58,Neutral,3.2,3.0
EMP0237,New York,Stayed,45,0.6,Neutral,2.9,2.7
EMP0238,Austin,Stayed,10,0.85,Positive,4.5,4.9
EMP0239,Remote,Stayed,64,0.58,Neutral,2.8,2.4
EMP0240,Remote,Stayed,19,0.93,Positive,4.6,4.3
EMP0241,San Francisco,At-Risk,74,0.48,Neutral,2.3,2.4
EMP0242,New York,Stayed,18,0.79,Positive,4.1,3.6
EMP0243,New York,Stayed,45,0.83,Positive,3.6,3.4
EMP0244,San Francisco,At-Risk,75,0.48,Neutral,2.3,1.6
EMP0245,San Francisco,Stayed,61,0.53,Neutral,2.7,3.1
EMP0246,San Francisco,At-Risk,73,0.42,Negative,2.0,1.9
EMP0247,Austin,Stayed,37,0.64,Neutral,3.4,3.4
EMP0248,New York,Stayed,42,0.56,Neutral,2.9,3.3
EMP0249,Austin,Stayed,36,0.88,Positive,3.8,3.5
EMP0250,San Francisco,Stayed,56,0.54,Neutral,2.9,2.8
EMP0251,New York,Stayed,51,0.58,Neutral,2.9,2.5
EMP0252,Austin,Stayed,12,0.82,Positive,4.2,3.8
EMP0253,Austin,At-Risk,77,0.38,Negative,2.1,1.8
EMP0254,San Francisco,Stayed,11,0.96,Positive,4.7,4.5
EMP0255,New York,Stayed,7,0.91,Positive,4.6,4.4
EMP0256,San Francisco,Stayed,17,0.85,Positive,4.0,4.1
EMP0257,New York,Stayed,37,0.8,Positive,3.8,3.4
EMP0258,Remote,Stayed,16,0.98,Positive,4.7,4.8
EMP0259,London,At-Risk,81,0.27,Negative,1.6,1.7
EMP0260,London,Left,91,0.28,Negative,1.2,1.0
EMP0261,London,Left,86,0.38,Negative,1.7,1.4
EMP0262,San Francisco,Stayed,18,0.83,Positive,4.4,4.4
EMP0263,Remote,At-Risk,71,0.4,Negative,2.1,2.0
EMP0264,New York,Stayed,40,0.68,Neutral,3.7,3.8
EMP0265,Austin,Stayed,4,1.0,Positive,5.0,5.0
EMP0266,New York,Stayed,8,0.95,Positive,4.6,4.6
EMP0267,Austin,Stayed,30,0.78,Positive,3.6,3.3
EMP0268,New York,At-Risk,80,0.43,Negative,2.2,1.8
EMP0269,Remote,Stayed,22,0.92,Positive,4.5,4.2
EMP0270,Austin,Stayed,34,0.81,Positive,3.8,3.2
EMP0271,San Francisco,Stayed,64,0.43,Negative,2.3,2.7
EMP0272,New York,At-Risk,76,0.41,Negative,2.3,1.4
EMP0273,New York,Stayed,7,0.91,Positive,4.7,4.9
EMP0274,Austin,Stayed,23,0.78,Positive,4.0,3.7
EMP0275,San Francisco,Stayed,9,0.85,Positive,4.5,4.3
EMP0276,San Francisco,Stayed,16,0.89,Positive,4.6,4.3
EMP0277,Remote,Stayed,31,0.79,Positive,3.7,4.3
EMP0278,San Francisco,Stayed,33,0.71,Neutral,3.6,3.6
EMP0279,San Francisco,Stayed,35,0.67,Neutral,3.3,3.6
EMP0280,San Francisco,Stayed,51,0.56,Neutral,3.0,3.5
EMP0281,London,Stayed,63,0.43,Negative,2.3,2.4
EMP0282,Remote,Stayed,22,0.88,Positive,4.3,3.8
EMP0283,New York,Stayed,30,0.77,Positive,3.8,3.7
EMP0284,Austin,Stayed,3,0.97,Positive,4.7,4.4
EMP0285,New York,Stayed,44,0.73,Neutral,3.3,3.1
EMP0286,Remote,Stayed,30,0.73,Neutral,3.8,3.8
EMP0287,Austin,Stayed,29,0.82,Positive,3.9,3.8
EMP0288,Remote,Stayed,29,0.7,Neutral,3.8,3.9
EMP0289,San Francisco,Stayed,30,0.93,Positive,4.1,4.3
EMP0290,Austin,Stayed,63,0.5,Neutral,2.7,2.7
EMP0291,San Francisco,Stayed,35,0.74,Neutral,3.5,3.7
EMP0292,New York,At-Risk,70,0.41,Negative,2.3,2.1
EMP0293,New York,Stayed,49,0.62,Neutral,3.2,3.7
EMP0294,Austin,Stayed,45,0.77,Positive,3.5,3.2
EMP0295,Austin,Stayed,15,0.75,Positive,4.0,4.4
EMP0296,Remote,Stayed,14,1.0,Positive,4.9,4.3
EMP0297,Remote,Stayed,37,0.76,Positive,3.8,3.6
EMP0298,San Francisco,Stayed,28,0.89,Positive,4.2,4.1
EMP0299,Austin,Stayed,33,0.72,Neutral,3.5,3.6
EMP0300,New York,Stayed,21,0.8,Positive,3.9,4.2
EMP0301,Remote,At-Risk,69,0.37,Negative,2.2,1.7
EMP0302,Remote,Stayed,61,0.53,Neutral,2.8,2.3
EMP0303,New York,Stayed,57,0.68,Neutral,3.1,2.5
EMP0304,Remote,Stayed,31,0.67,Neutral,3.4,3.9
EMP0305,San Francisco,At-Risk,69,0.43,Negative,2.1,2.3
EMP0306,Austin,Stayed,58,0.41,Negative,2.4,2.0
EMP0307,New York,Stayed,63,0.54,Neutral,2.8,2.7
EMP0308,Austin,Stayed,0,1.0,Positive,4.9,5.0
EMP0309,Remote,Stayed,53,0.53,Neutral,3.0,2.9
EMP0310,Remote,Stayed,41,0.73,Neutral,3.4,3.3
EMP0311,New York,Stayed,63,0.53,Neutral,2.6,2.3
EMP0312,San Francisco,Stayed,33,0.75,Positive,3.8,3.4
EMP0313,London,At-Risk,69,0.35,Negative,1.8,2.3
EMP0314,New York,Stayed,51,0.5,Neutral,2.6,3.3
EMP0315,London,At-Risk,70,0.49,Neutral,2.5,2.2
EMP0316,London,Left,100,0.25,Negative,1.0,1.6
EMP0317,San Francisco,At-Risk,74,0.38,Negative,2.0,1.8
EMP0318,London,At-Risk,73,0.42,Negative,1.7,1.9
EMP0319,London,Left,87,0.24,Negative,1.1,1.7
EMP0320,San Francisco,At-Risk,76,0.44,Negative,2.3,2.3
EMP0321,London,At-Risk,72,0.45,Neutral,2.0,1.9
EMP0322,London,Stayed,36,0.71,Neutral,3.4,3.7
EMP0323,London,At-Risk,68,0.46,Neutral,2.7,2.3
EMP0324,New York,Stayed,29,0.66,Neutral,3.5,4.0
EMP0325,New York,Stayed,51,0.57,Neutral,2.9,2.9
EMP0326,New York,Stayed,11,0.88,Positive,4.8,4.6
EMP0327,San Francisco,Stayed,56,0.74,Neutral,3.2,2.9
EMP0328,Remote,At-Risk,70,0.49,Neutral,2.3,1.7
EMP0329,London,Stayed,62,0.57,Neutral,2.9,2.6
EMP0330,London,Left,91,0.25,Negative,1.3,1.2
EMP0331,San Francisco,Stayed,48,0.58,Neutral,3.0,2.6
EMP0332,London,Stayed,63,0.41,Negative,2.5,2.5
EMP0333,New York,Stayed,1,0.84,Positive,4.6,4.8
EMP0334,Remote,Stayed,41,0.79,Positive,3.5,3.4
EMP0335,Austin,Stayed,35,0.9,Positive,4.1,4.4
EMP0336,London,Stayed,34,0.77,Positive,4.0,3.7
EMP0337,New York,Stayed,60,0.52,Neutral,2.4,2.8
EMP0338,Austin,Stayed,59,0.59,Neutral,2.8,2.9
EMP0339,Remote,Stayed,34,0.67,Neutral,3.2,3.8
EMP0340,Austin,Stayed,29,0.58,Neutral,3.3,4.2
EMP0341,New York,Stayed,45,0.56,Neutral,3.2,3.0
EMP0342,Austin,Stayed,9,1.0,Positive,4.7,4.6
EMP0343,San Francisco,Stayed,15,0.73,Neutral,4.1,4.0
EMP0344,Austin,Stayed,25,0.76,Positive,3.8,4.1
EMP0345,London,At-Risk,70,0.37,Negative,1.9,2.5
EMP0346,London,Stayed,48,0.67,Neutral,3.5,3.2
EMP0347,San Francisco,Stayed,0,0.99,Positive,4.9,5.0
EMP0348,New York,Stayed,7,0.86,Positive,4.5,4.4
EMP0349,London,Left,98,0.22,Negative,1.0,1.3
EMP0350,Remote,Stayed,26,0.79,Positive,3.9,4.5
EMP0351,London,Left,99,0.34,Negative,1.2,1.1
EMP0352,London,Left,88,0.29,Negative,1.8,1.1
EMP0353,New York,At-Risk,66,0.44,Negative,2.2,2.5
EMP0354,Austin,Stayed,36,0.78,Positive,3.8,3.5
EMP0355,London,Stayed,53,0.6,Neutral,3.1,3.0
EMP0356,San Francisco,Stayed,61,0.4,Negative,2.3,2.7
EMP0357,Austin,Stayed,40,0.69,Neutral,3.2,3.3
EMP0358,Remote,Stayed,36,0.69,Neutral,3.4,3.3
EMP0359,New York,Stayed,54,0.56,Neutral,3.1,2.9
EMP0360,Remote,At-Risk,69,0.49,Neutral,2.4,1.2
EMP0361,Austin,Stayed,49,0.74,Neutral,3.3,3.5
EMP0362,Austin,Stayed,17,0.85,Positive,4.3,4.2
EMP0363,Austin,Stayed,65,0.44,Negative,2.2,2.8
EMP0364,Remote,At-Risk,70,0.53,Neutral,2.2,2.4
EMP0365,Austin,Stayed,47,0.56,Neutral,3.1,2.8
EMP0366,Remote,Stayed,0,1.0,Positive,4.8,5.0
EMP0367,Austin,Stayed,20,0.85,Positive,4.0,4.5
EMP0368,San Francisco,Stayed,20,0.76,Positive,4.0,3.9
EMP0369,Austin,Stayed,37,0.58,Neutral,3.1,3.6
EMP0370,Remote,Stayed,27,0.73,Neutral,3.8,3.6
EMP0371,London,Left,100,0.11,Negative,1.0,1.1
EMP0372,Austin,Stayed,26,0.79,Positive,3.9,4.1
EMP0373,London,Stayed,24,0.7,Neutral,3.7,4.1
EMP0374,San Francisco,Stayed,30,0.78,Positive,3.8,4.1
EMP0375,New York,Stayed,7,0.86,Positive,4.6,4.5
EMP0376,San Francisco,Stayed,6,0.88,Positive,4.2,4.6
EMP0377,Austin,At-Risk,69,0.51,Neutral,2.4,2.3
EMP0378,London,Stayed,42,0.71,Neutral,3.7,3.5
EMP0379,London,Left,99,0.26,Negative,1.2,1.0
EMP0380,Remote,Stayed,17,0.72,Neutral,3.6,4.4
EMP0381,London,Left,92,0.36,Negative,1.4,1.1
EMP0382,Remote,At-Risk,67,0.36,Negative,2.0,2.6
EMP0383,New York,Stayed,49,0.65,Neutral,3.3,2.8
EMP0384,Austin,Stayed,46,0.54,Neutral,2.9,3.1
EMP0385,Remote,Stayed,35,0.69,Neutral,3.5,3.6
EMP0386,New York,Stayed,18,0.77,Positive,3.7,4.4
EMP0387,London,Left,99,0.19,Negative,1.1,1.0
EMP0388,London,Left,87,0.26,Negative,1.4,1.0
EMP0389,New York,Stayed,35,0.78,Positive,3.7,3.6
EMP0390,London,Stayed,63,0.47,Neutral,2.0,2.7
EMP0391,New York,Stayed,8,0.86,Positive,4.2,3.8
EMP0392,Remote,Stayed,40,0.78,Positive,4.0,2.9
EMP0393,Remote,Stayed,13,0.9,Positive,4.5,4.6
EMP0394,New York,Stayed,26,0.84,Positive,4.1,4.5
EMP0395,Remote,Stayed,36,0.67,Neutral,3.3,2.9
EMP0396,Remote,Stayed,17,0.72,Neutral,4.0,4.4
EMP0397,Remote,Stayed,59,0.59,Neutral,2.8,2.4
EMP0398,San Francisco,Stayed,55,0.54,Neutral,2.9,2.9
EMP0399,Austin,Stayed,5,0.8,Positive,4.4,4.7
EMP0400,London,At-Risk,73,0.38,Negative,2.3,1.9
EMP0401,San Francisco,Stayed,11,0.87,Positive,4.4,4.5
EMP0402,Remote,Stayed,0,0.84,Positive,4.5,5.0
EMP0403,New York,Stayed,5,0.8,Positive,4.6,4.8
EMP0404,Remote,Stayed,11,0.93,Positive,4.7,4.5
EMP0405,Austin,Stayed,27,0.63,Neutral,3.3,3.9
EMP0406,Remote,Stayed,51,0.58,Neutral,3.0,3.2
EMP0407,New York,Stayed,40,0.72,Neutral,3.7,3.0
EMP0408,Austin,Stayed,42,0.71,Neutral,3.1,3.5
EMP0409,Remote,Stayed,24,0.79,Positive,3.8,3.6
EMP0410,Austin,Stayed,13,0.8,Positive,4.1,4.2
EMP0411,London,Stayed,42,0.61,Neutral,3.1,3.5
EMP0412,London,At-Risk,68,0.5,Neutral,2.1,1.9
EMP0413,Remote,At-Risk,67,0.55,Neutral,2.5,1.8
EMP0414,Austin,Stayed,41,0.59,Neutral,3.3,3.9
EMP0415,New York,Stayed,58,0.44,Negative,2.4,2.9
EMP0416,Remote,Stayed,7,0.89,Positive,4.7,4.6
EMP0417,London,At-Risk,69,0.39,Negative,2.0,2.4
EMP0418,London,Left,94,0.26,Negative,1.5,1.3
